* Generated by rew_pipeline.py (source UUID 3cad11fd-e3fa-4108-9c9c-d820def9f39f, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: R.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Trace Arithmetic A times B A = R.nofdw.120.green.multipos.fdw6 B = FRX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
68.847656 76.543 57.7707
69.030762 76.424 56.6003
69.213867 76.182 55.2796
69.396973 75.880 54.5855
69.580078 75.635 54.5213
69.763184 75.488 54.4034
69.946289 75.356 53.7039
70.129395 75.130 52.6526
70.312500 74.793 51.9468
70.495605 74.426 52.0157
70.678711 74.125 52.5525
70.861816 73.878 52.8941
71.044922 73.586 52.9012
71.228027 73.187 53.1983
71.411133 72.748 54.4948
71.594238 72.412 56.6562
71.777344 72.218 58.6501
71.960449 72.025 59.7901
72.143555 71.670 60.6673
72.326660 71.154 62.6735
72.509766 70.687 66.6802
72.692871 70.517 71.8265
72.875977 70.635 76.2934
73.059082 70.815 79.5483
73.242188 70.929 82.5729
73.425293 71.064 86.2808
73.608398 71.361 90.3490
73.791504 71.805 93.7505
73.974609 72.247 96.2342
74.157715 72.601 98.5858
74.340820 72.955 101.5870
74.523926 73.468 104.9828
74.707031 74.178 107.6366
74.890137 74.961 108.8054
75.073242 75.678 108.7598
75.256348 76.292 108.2416
75.439453 76.856 107.7479
75.622559 77.440 107.2470
75.805664 78.059 106.4111
75.988770 78.673 105.0502
76.171875 79.241 103.2848
76.354980 79.753 101.3759
76.538086 80.228 99.4886
76.721191 80.693 97.6113
76.904297 81.155 95.6272
77.087402 81.606 93.4413
77.270508 82.032 91.0488
77.453613 82.422 88.5052
77.636719 82.776 85.8778
77.819824 83.095 83.2341
78.002930 83.391 80.6345
78.186035 83.683 78.0898
78.369141 83.996 75.4952
78.552246 84.335 72.6510
78.735352 84.686 69.3775
78.918457 85.023 65.6036
79.101562 85.317 61.3947
79.284668 85.553 56.9065
79.467773 85.735 52.2767
79.650879 85.868 47.5631
79.833984 85.952 42.7689
80.017090 85.980 37.8951
80.200195 85.941 32.9829
80.383301 85.829 28.1154
80.566406 85.649 23.3740
80.749512 85.409 18.7974
80.932617 85.120 14.3833
81.115723 84.782 10.1286
81.298828 84.396 6.0679
81.481934 83.966 2.2727
81.665039 83.504 -1.1956
81.848145 83.023 -4.3369
82.031250 82.530 -7.2154
82.214355 82.021 -9.8987
82.397461 81.481 -12.3852
82.580566 80.902 -14.5790
82.763672 80.290 -16.3288
82.946777 79.667 -17.4974
83.129883 79.071 -18.0304
83.312988 78.545 -18.0162
83.496094 78.121 -17.7160
83.679199 77.800 -17.5069
83.862305 77.542 -17.7169
84.045410 77.285 -18.4491
84.228516 76.975 -19.5496
84.411621 76.594 -20.7537
84.594727 76.150 -21.8857
84.777832 75.654 -22.9289
84.960938 75.088 -23.8720
85.144043 74.423 -24.4459
85.327148 73.664 -24.0210
85.510254 72.913 -21.9282
85.693359 72.363 -18.2282
85.876465 72.141 -14.1552
86.059570 72.171 -11.1563
86.242676 72.267 -9.6355
86.425781 72.319 -9.1206
86.608887 72.333 -9.1459
86.791992 72.349 -9.7160
86.975098 72.358 -11.0661
87.158203 72.300 -13.1162
87.341309 72.135 -15.3027
87.524414 71.896 -16.9575
87.707520 71.660 -17.8349
87.890625 71.471 -18.2523
88.073730 71.287 -18.6136
88.256836 71.049 -18.9125
88.439941 70.773 -18.9800
88.623047 70.555 -19.2698
88.806152 70.427 -21.0797
88.989258 70.272 -25.5890
89.172363 69.927 -32.8813
89.355469 69.322 -41.9507
89.538574 68.551 -51.2408
89.721680 67.854 -59.5288
89.904785 67.491 -67.1885
90.087891 67.471 -76.3811
90.270996 67.489 -89.2355
90.454102 67.239 -106.7714
90.637207 66.714 -129.3488
90.820312 66.307 -156.0397
91.003418 66.510 177.3776
91.186523 67.309 156.3829
91.369629 68.385 142.7135
91.552734 69.588 134.4638
91.735840 70.841 128.7108
91.918945 72.004 123.4627
92.102051 72.963 118.1356
92.285156 73.702 112.8816
92.468262 74.285 107.8635
92.651367 74.783 102.9776
92.834473 75.221 98.0096
93.017578 75.578 92.9316
93.200684 75.835 87.9916
93.383789 76.001 83.5291
93.566895 76.122 79.7164
93.750000 76.242 76.4513
93.933105 76.381 73.4804
94.116211 76.535 70.5991
94.299316 76.695 67.7142
94.482422 76.856 64.7560
94.665527 77.005 61.6163
94.848633 77.105 58.2382
95.031738 77.112 54.7739
95.214844 77.002 51.5998
95.397949 76.803 49.1119
95.581055 76.584 47.4477
95.764160 76.407 46.3881
95.947266 76.290 45.5771
96.130371 76.221 44.8331
96.313477 76.207 44.1483
96.496582 76.274 43.3808
96.679688 76.426 42.1133
96.862793 76.596 39.9706
97.045898 76.686 37.0150
97.229004 76.631 33.7521
97.412109 76.439 30.7977
97.595215 76.181 28.4740
97.778320 75.926 26.5953
97.961426 75.677 24.7165
98.144531 75.367 22.6995
98.327637 74.940 20.9830
98.510742 74.428 20.2645
98.693848 73.958 20.8140
98.876953 73.650 21.9903
99.060059 73.483 22.7213
99.243164 73.312 22.5786
99.426270 73.022 22.0745
99.609375 72.614 22.0579
99.792480 72.197 22.9469
99.975586 71.872 24.3783
100.158691 71.635 25.6677
100.341797 71.398 26.6164
100.524902 71.096 27.6751
100.708008 70.753 29.4340
100.891113 70.452 32.0874
101.074219 70.258 35.3590
101.257324 70.181 38.8770
101.440430 70.212 42.4410
101.623535 70.354 45.8907
101.806641 70.595 48.9919
101.989746 70.898 51.6244
102.172852 71.235 53.9267
102.355957 71.621 56.0605
102.539062 72.090 57.8585
102.722168 72.631 58.8680
102.905273 73.163 58.8112
103.088379 73.599 57.8891
