* Generated by rew_pipeline.py (source UUID 6c5ff0b0-8c32-4d9a-87d3-d1c755ad89b3, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: LR.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Vector average of L.filtered.120.green.multipos.fdw6, R.filtered.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
145.935059 72.210 -0.2860
146.118164 71.970 -0.4622
146.301270 71.742 -0.4263
146.484375 71.525 -0.3172
146.667480 71.303 -0.0740
146.850586 71.072 0.3661
147.033691 70.839 1.1920
147.216797 70.630 2.3762
147.399902 70.456 3.8531
147.583008 70.322 5.4373
147.766113 70.204 7.1066
147.949219 70.104 8.9042
148.132324 70.028 10.9280
148.315430 70.017 13.1499
148.498535 70.089 15.3502
148.681641 70.254 17.2414
148.864746 70.469 18.5789
149.047852 70.696 19.4187
149.230957 70.900 19.9354
149.414062 71.091 20.4281
149.597168 71.293 20.9251
149.780273 71.527 21.3441
149.963379 71.778 21.4164
150.146484 72.006 21.1322
150.329590 72.180 20.5991
150.512695 72.299 20.0978
150.695801 72.398 19.6960
150.878906 72.499 19.2964
151.062012 72.607 18.6640
151.245117 72.685 17.7374
151.428223 72.711 16.6946
151.611328 72.686 15.8076
151.794434 72.651 15.2564
151.977539 72.636 14.9233
152.160645 72.649 14.6341
152.343750 72.661 14.2521
152.526855 72.650 13.9338
152.709961 72.626 13.7930
152.893066 72.616 13.8767
153.076172 72.637 13.9525
153.259277 72.667 13.8982
153.442383 72.682 13.7356
153.625488 72.673 13.7188
153.808594 72.681 13.9572
153.991699 72.734 14.3074
154.174805 72.837 14.4410
154.357910 72.933 14.1885
154.541016 72.981 13.7321
154.724121 72.970 13.3981
154.907227 72.948 13.4420
155.090332 72.964 13.7416
155.273438 73.043 14.0415
155.456543 73.159 14.0810
155.639648 73.284 13.9201
155.822754 73.404 13.6572
156.005859 73.521 13.4207
156.188965 73.640 13.1592
156.372070 73.745 12.8814
156.555176 73.833 12.6046
156.738281 73.905 12.3963
156.921387 73.986 12.1857
157.104492 74.079 11.7994
157.287598 74.174 11.1141
157.470703 74.247 10.1805
157.653809 74.303 9.2390
157.836914 74.369 8.4357
158.020020 74.482 7.7527
158.203125 74.647 6.9264
158.386230 74.827 5.8235
158.569336 74.978 4.4608
158.752441 75.074 3.0736
158.935547 75.128 1.7796
159.118652 75.159 0.5716
159.301758 75.179 -0.7269
159.484863 75.174 -2.2026
159.667969 75.137 -3.8076
159.851074 75.069 -5.4083
160.034180 74.994 -6.9293
160.217285 74.920 -8.4353
160.400391 74.838 -9.9586
160.583496 74.719 -11.4493
160.766602 74.560 -12.6746
160.949707 74.382 -13.5190
161.132812 74.226 -14.0283
161.315918 74.110 -14.5403
161.499023 74.013 -15.2949
161.682129 73.897 -16.3415
161.865234 73.741 -17.4388
162.048340 73.566 -18.3695
162.231445 73.398 -19.0519
162.414551 73.258 -19.5863
162.597656 73.129 -20.0723
162.780762 72.996 -20.4677
162.963867 72.850 -20.7042
163.146973 72.707 -20.7542
163.330078 72.569 -20.7817
163.513184 72.428 -20.8670
163.696289 72.262 -21.0148
163.879395 72.073 -21.0082
164.062500 71.893 -20.7792
164.245605 71.752 -20.3682
164.428711 71.655 -20.0195
164.611816 71.571 -19.7805
164.794922 71.481 -19.5510
164.978027 71.388 -19.1204
165.161133 71.333 -18.5044
165.344238 71.332 -17.9454
165.527344 71.374 -17.7152
165.710449 71.412 -17.8837
165.893555 71.428 -18.2523
166.076660 71.422 -18.6372
166.259766 71.416 -18.9124
166.442871 71.415 -19.1571
166.625977 71.414 -19.3531
166.809082 71.400 -19.5105
166.992188 71.379 -19.5476
