* Generated by rew_pipeline.py (source UUID c11b66be-534c-4ea4-ab08-38d8268a4119, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: LR.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Vector average of L.nofdw.120.green.multipos.fdw6, R.nofdw.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
286.743164 72.346 -136.4342
287.109375 72.464 -138.5107
287.475586 72.631 -140.3473
287.841797 72.814 -142.8298
288.208008 72.870 -145.8230
288.574219 72.861 -148.7308
288.940430 72.855 -151.9241
289.306641 72.781 -155.2866
289.672852 72.634 -158.2685
290.039062 72.426 -161.0851
290.405273 72.108 -163.9146
290.771484 71.711 -166.4594
291.137695 71.329 -168.7202
291.503906 70.957 -170.8606
291.870117 70.542 -172.4707
292.236328 70.130 -173.4352
292.602539 69.715 -174.6252
292.968750 69.188 -175.9755
293.334961 68.632 -176.6726
293.701172 68.116 -176.9050
294.067383 67.565 -176.2314
294.433594 67.092 -174.3337
294.799805 66.701 -172.6071
295.166016 66.260 -170.9008
295.532227 65.935 -168.7527
295.898438 65.782 -167.1422
296.264648 65.694 -166.0009
296.630859 65.633 -165.2659
296.997070 65.487 -164.7943
297.363281 65.269 -163.8761
297.729492 65.053 -162.4320
298.095703 64.882 -160.3892
298.461914 64.760 -158.1494
298.828125 64.587 -155.2017
299.194336 64.599 -150.9606
299.560547 64.873 -147.6757
299.926758 65.155 -144.9957
300.292969 65.645 -142.3854
300.659180 66.217 -141.8240
301.025391 66.611 -142.2514
301.391602 66.978 -143.3947
301.757812 67.198 -145.8015
302.124023 67.290 -147.5883
302.490234 67.471 -149.3087
302.856445 67.445 -151.5019
303.222656 67.241 -152.1294
303.588867 67.137 -152.9417
303.955078 66.826 -154.4275
304.321289 66.582 -153.6477
304.687500 66.747 -153.2083
305.053711 66.708 -153.4199
305.419922 66.609 -151.0155
305.786133 66.790 -149.2192
306.152344 66.836 -149.3112
306.518555 66.895 -149.4820
306.884766 67.063 -150.8339
307.250977 67.085 -152.2066
307.617188 67.085 -152.4691
307.983398 67.034 -152.7333
308.349609 66.888 -152.5121
308.715820 66.817 -152.1987
309.082031 66.725 -151.9823
309.448242 66.692 -150.7217
309.814453 66.794 -149.5651
310.180664 66.852 -148.4629
310.546875 67.053 -147.0305
310.913086 67.395 -146.9158
311.279297 67.674 -147.4858
311.645508 67.981 -148.1941
312.011719 68.248 -149.8845
312.377930 68.344 -152.1101
312.744141 68.287 -154.2184
313.110352 68.129 -155.5805
313.476562 68.004 -156.3899
313.842773 67.806 -157.7102
314.208984 67.387 -158.1201
314.575195 67.056 -156.3426
314.941406 66.963 -153.5081
315.307617 67.075 -149.5898
315.673828 67.473 -145.7579
316.040039 67.943 -143.2011
316.406250 68.495 -141.3808
316.772461 69.207 -141.1638
317.138672 69.928 -142.2245
317.504883 70.681 -143.8730
317.871094 71.360 -146.8899
318.237305 71.777 -150.7835
318.603516 72.029 -154.6602
318.969727 72.251 -158.5633
319.335938 72.477 -162.2694
319.702148 72.720 -165.8870
320.068359 72.874 -169.8172
320.434570 72.884 -173.7293
320.800781 72.848 -177.5359
321.166992 72.805 178.5933
321.533203 72.745 174.8862
321.899414 72.648 171.3881
322.265625 72.493 167.9867
322.631836 72.301 164.5625
322.998047 72.107 161.1816
