* Generated by rew_pipeline.py (source UUID 9e8dedfa-8b56-4da9-abd5-de1186520615, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -0.999958 s))
* Measurement: L.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Trace Arithmetic A times B A = L.nofdw.120.green.multipos.fdw6 B = FLX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
111.694336 74.548 38.1810
111.877441 74.540 38.1841
112.060547 74.592 38.4147
112.243652 74.710 38.5163
112.426758 74.860 38.2692
112.609863 75.002 37.7330
112.792969 75.128 37.1148
112.976074 75.262 36.5248
113.159180 75.428 35.8498
113.342285 75.623 34.8617
113.525391 75.811 33.4419
113.708496 75.959 31.6911
113.891602 76.055 29.8403
114.074707 76.116 28.0686
114.257812 76.169 26.3797
114.440918 76.224 24.6242
114.624023 76.266 22.6408
114.807129 76.264 20.3875
114.990234 76.191 17.9629
115.173340 76.037 15.5353
115.356445 75.811 13.2555
115.539551 75.529 11.2069
115.722656 75.208 9.4032
115.905762 74.858 7.8230
116.088867 74.478 6.4579
116.271973 74.060 5.3619
116.455078 73.596 4.6823
116.638184 73.093 4.6406
116.821289 72.585 5.4378
117.004395 72.125 7.1029
117.187500 71.764 9.4045
117.370605 71.519 11.9676
117.553711 71.373 14.5238
117.736816 71.310 17.0106
117.919922 71.338 19.4005
118.103027 71.468 21.4975
118.286133 71.678 22.9960
118.469238 71.903 23.7632
118.652344 72.079 24.0061
118.835449 72.182 24.1401
119.018555 72.242 24.4852
119.201660 72.313 25.0173
119.384766 72.417 25.3924
119.567871 72.523 25.2691
119.750977 72.569 24.6266
119.934082 72.514 23.7948
120.117188 72.365 23.2346
120.300293 72.173 23.2595
120.483398 72.003 23.8660
120.666504 71.885 24.8035
120.849609 71.807 25.8396
121.032715 71.743 26.9575
121.215820 71.689 28.2981
121.398926 71.674 29.9418
121.582031 71.733 31.7563
121.765137 71.883 33.4594
121.948242 72.107 34.8227
122.131348 72.376 35.7995
122.314453 72.673 36.4714
