* Generated by rew_pipeline.py (source UUID a991554c-26c7-4668-8b42-31ccc9447062, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000015 s))
* Measurement: R.nofdw.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
140.258789 75.019 -70.7975
140.625000 75.089 -72.5759
140.991211 75.354 -73.2150
141.357422 75.456 -76.0395
141.723633 75.692 -79.0815
142.089844 76.020 -80.8174
142.456055 76.094 -84.1794
142.822266 75.891 -85.8822
143.188477 75.859 -87.8278
143.554688 75.494 -89.6980
143.920898 75.229 -92.2621
144.287109 74.945 -92.6710
144.653320 74.581 -92.5974
145.019531 74.246 -91.1447
145.385742 74.093 -91.3045
145.751953 73.756 -90.8505
146.118164 73.781 -89.7563
146.484375 73.650 -87.8516
146.850586 73.554 -88.2730
147.216797 73.717 -89.3070
147.583008 73.665 -87.9730
147.949219 73.548 -86.1026
148.315430 73.570 -87.5320
148.681641 73.543 -84.7985
149.047852 73.891 -85.9038
149.414062 73.883 -87.1737
149.780273 74.025 -86.6087
150.146484 74.217 -88.1058
150.512695 74.158 -89.1366
150.878906 74.011 -88.8231
151.245117 74.038 -89.7494
151.611328 74.005 -90.5113
151.977539 74.008 -91.9360
152.343750 73.877 -91.0946
152.709961 73.969 -91.5783
153.076172 73.969 -90.1625
153.442383 74.298 -91.4387
153.808594 74.165 -89.9174
154.174805 74.328 -91.4217
154.541016 74.590 -90.9825
154.907227 74.839 -92.4086
155.273438 74.781 -93.2503
155.639648 74.890 -93.3130
156.005859 75.324 -95.2364
156.372070 75.560 -95.1848
156.738281 75.706 -97.4745
157.104492 75.982 -97.9584
157.470703 75.963 -100.1507
157.836914 76.020 -104.2916
158.203125 76.383 -107.8937
158.569336 76.666 -110.0115
158.935547 76.580 -113.7905
159.301758 76.578 -116.6939
159.667969 76.381 -120.2876
160.034180 76.111 -123.7813
160.400391 75.908 -127.8543
160.766602 75.761 -130.5369
161.132812 75.305 -132.1539
161.499023 74.932 -134.3065
161.865234 74.823 -136.7508
162.231445 74.493 -139.6312
162.597656 74.248 -142.3598
162.963867 73.905 -142.2779
163.330078 73.532 -144.8622
163.696289 72.834 -146.0713
164.062500 72.733 -149.7502
164.428711 72.100 -150.6198
164.794922 71.641 -150.9239
165.161133 70.896 -151.4341
165.527344 70.381 -153.3622
165.893555 70.176 -154.7043
166.259766 69.699 -152.9245
166.625977 69.116 -152.4612
166.992188 68.311 -149.1123
167.358398 67.663 -147.8753
167.724609 66.870 -140.2787
